key,0,1,2
#,,,
offset,0,4,8
int32,str,str,str
0,,,
1,[第1期],宇宙探索計劃的伊始,即日起將由本人時評威執筆，為各位讀者記錄宇宙探索計劃的軌跡。<hex:02100103>希望各位多多關注。<hex:02100103><hex:02100103>言歸正傳，查明威主任所構想的宏偉計劃終於啟動了！<hex:02100103>目前作為從月面前往外宇宙的港口而設定的月門基地中，僅有寥寥數台機械。<hex:02100103>要在月面或是廣大的外星大地奔馳，很可能用到重型機車。而供重型機車停泊的機庫，以及供計劃的協助者們交易備用物資的店鋪等設施還處於臨時搭設的狀態。<hex:02100103><hex:02100103>更令我們擔心的是，偶爾會有小型隕石群落在這憧憬灣之中……<hex:02100103>雖然我們的衣服在設計之初就考慮到在外星活動的情況，使用了十分結實的材料，但住在臨時搭建的帳篷裡還是讓人擔驚受怕！<hex:02100103>因此，從亞伊太利斯前來協助的各位，我希望能藉助你們的力量，盡快將月面基地的基礎設施完善起來！
2,[第2期],擴建月門基地,來自亞伊太利斯的協助者們陸續到達了！<hex:02100103>他們之中不乏在迷津參與過方舟計劃的研究者、在薩雷安魔法大學攻堅最新宇宙理論的教授，以及有名的拾穗人、冒險者和工匠，可謂人才濟濟！多虧他們的努力，月門基地的基礎設施升級了。<hex:02100103><hex:02100103>臨時搭建的帳篷如今換成了結實的強化金屬製屋頂！這下就不用擔心寶貴的物資被墜落物砸壞，可以放心地展開今後的計劃了。<hex:02100103><hex:02100103>託大家的福，宇宙探索計劃的開始階段進展順利。接下來就以這月門基地的周邊為立足點，進一步探索憧憬灣的各處吧。
3,[第3期],初次開通宇宙飛線,我們兔兔族長期生活在這月面之上，如今才對它這樣大費周章地探索，想必各位讀者會覺得很奇怪吧。<hex:02100103>不過，除了對探索外宇宙的出發地展開建設之外，我們在憧憬灣的活動還有另一個目的，那就是提前演練，為將來前往外星做好準備。<hex:02100103><hex:02100103>這次製造完成的宇宙飛線，也是以能在外星使用為前提而設計的移動設備。<hex:02100103>外星的地脈未必穩定，因此可能會需要不依靠傳送魔法的高速移動手段。<hex:02100103>當前的目標是讓宇宙飛線的通行範圍覆蓋憧憬灣全域，安全穩定地運作。
4,[第4期],居住艙和宇宙港竣工,提供給來自亞伊太利斯的各位協助者們的居住艙，以及供宇宙飛船起降的宇宙港，目前均已竣工！<hex:02100103>現階段兩者僅具備基礎功能，但今後會繼續進行擴建。<hex:02100103><hex:02100103>在建設居住艙時，我們吸取了樂園都市笑笑鎮的失敗經驗，相信這次可以保證安全、舒適的居住環境！<hex:02100103><hex:02100103>在宇宙港的設計上，我們靈活運用了乙太學最新的研究成果，現在能夠精準地讓宇宙飛船受到宇宙空間中稀薄的乙太流——宙脈的引導了。<hex:02100103>目前雖然只完成了基礎部分，不過我們無疑又向外星之旅邁出了堅實的一步！
5,[第5期],改良機甲庫,為了提高在外星探索和各種作業的效率，我們兔兔族與人類研究者共同開發了秘密機械……新型機甲！<hex:02100103><hex:02100103>機甲曾在機甲行動中大顯身手，不過據說它們一直保管在帳篷裡，因粉塵與墜落物發生過故障。<hex:02100103>但集裝箱型的機甲庫建成後，機甲就不會再受到環境的影響了。<hex:02100103>聽說機甲庫裡現在還能進行更高級的調整維護，相信機甲的運行效率也能不斷改善！
6,[第6期],宇宙飛線向西北區域延伸,宇宙飛線目前已經通到了憧憬灣西北部的葫蘆小灣！<hex:02100103><hex:02100103>此外，途經站點均配備了工作人員休息處和機甲能量補給處。在探索遠方的區域前，可以先在這些站點做好充足準備。<hex:02100103>經宇宙飛線前往各區域時，不妨留意一下各站點的這些設施！
7,[第7期],宇宙飛線向東南區域延伸,宇宙飛線目前已經通到了憧憬灣東南部的婚慶威的實驗園！<hex:02100103><hex:02100103>這片區域是土壤改良的實驗場，因為月球的土質不太適合栽培植物，我們投用了營養劑。<hex:02100103>這項計劃的負責人是個叫婚慶威的兔兔族，他和來自薩雷安的植物學家正在共同嘗試各種植物和菌類的繁殖與雜交。另外，據說總在嘆息海欣賞奇異菌類的愛情威也經常出入這裡……也許這就是實驗園裡的蘑菇遠比花多的原因。
