key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_000,哦，你是……在焦渴之灣也見過我吧？<hex:02100103>我是負責給新人介紹這顆星球的。<hex:02100103>有什麼想知道的，儘管問吧！
1,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_Q1_000_000,你想問什麼？
2,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_A1_000_001,告訴我你的事
3,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_A1_000_002,關於「帕恩納星」
4,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_A1_000_003,關於「玻璃吹制岩窟」
5,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_A1_000_004,關於「千花之丘」
6,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_A1_000_005,關於「蘇打石灰湖」
7,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_A1_000_006,關於「硝礫河灘」
8,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_A1_000_007,關於「虹彩階梯」
9,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_A1_000_008,關於「膠囊峽谷」
10,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_A1_000_009,關於「熔融之口」
11,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_A1_000_010,取消
12,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_100_001,我是一名拾穗人，離開故鄉四處漂泊。<hex:02100103>因此，我很樂意參與這次探索計劃，<hex:02100103>如果能去到一片沒人見過的土地，那肯定很有趣。
13,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_200_002,作為拾穗人，採集研究樣本什麼的對我來說得心應手，<hex:02100103>所以就算來到這片遙遠的宇宙，也總能派上用場。<hex:02100103>像我這樣的人，這裡還有很多。
14,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_300_003,幸運的是，這顆星球上似乎沒有危險的魔物。<hex:02100103>研究員們和雷波利特們都制定了周密的計劃，<hex:02100103>比起在海德林上旅行，我更能專注於工作。
15,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_001,「帕恩納星」是我們進行星外探索計劃所到訪的第一顆行星。<hex:02100103>聽說它距離海德林只有3個胡蘿蔔遠，<hex:02100103>位於「UL9」星系的第6顆行星。
16,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_002,你大概也聽說了吧，這是一顆富含玻璃質資源的星球。<hex:02100103>濃密的乙太在雲層之上或地底，<hex:02100103>持續將作為玻璃原料的物質加熱沸騰，並使其顯露在地面上。
17,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_003,多虧了中央水晶，這附近的情況還算好，<hex:02100103>但在星球的背面，熾熱的玻璃水滴就像暴風雨一樣。<hex:02100103>聽說他們也正在嘗試用無人機去探索那片區域。
18,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_004,「玻璃吹制岩窟」是一片深邃廣闊的天然洞窟，<hex:02100103>這個基地就建在它的內部。<hex:02100103>洞頂有裂縫，所以宇宙飛船也能進出。
19,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_005,據說這個空間原本被大量的玻璃物質所填滿，<hex:02100103>之後因地熱流動而被侵蝕，形成了這個洞窟。<hex:02100103>現在，在很多地方都還能看到它的痕跡。
20,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_006,不過，就算我們和各種設備都躲進洞窟裡，<hex:02100103>也無法完全阻止微小的玻璃雨滴進入。<hex:02100103>所以，望遠鏡和重要的設備都加裝了屏障功能。
21,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_007,「千花」是海德林上的一種玻璃工藝，<hex:02100103>意為「千朵花」。<hex:02100103>正如其名，這是一片能看到五顏六色玻璃植物的山丘地帶。
22,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_008,你肯定會疑問，到底什麼是玻璃植物……<hex:02100103>因為這顆星球的水、土壤和所有天然資源都富含硅元素，<hex:02100103>所以植物也受其影響，細胞組成偏向於玻璃質。
23,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_009,……這麼說來，如果這顆星球上的生物進化得更徹底，<hex:02100103>會不會出現玻璃牛或玻璃人啊？<hex:02100103>這可真是令人毛骨悚然。
24,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_010,「蘇打石灰湖」這個名字，<hex:02100103>聽起來像是最終幻想酒館裡賣的時尚飲品，<hex:02100103>但它實際上是一條富含作為玻璃原料的碳酸鈉水質的河流。
25,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_011,它本身可能就具備液態玻璃的性質吧。<hex:02100103>研究員們都兩眼放光地說，<hex:02100103>它只是沒有固化，但狀態和海德林上的水完全不同。
26,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_012,這條河的水也被用作基地的水源，<hex:02100103>不過，應該有全速運轉的過濾裝置，所以請放心。<hex:02100103>不會因為持續飲用而讓內臟變成玻璃質的。
27,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_013,「硝礫河灘」是蘇打石灰湖西側的一片，<hex:02100103>廣闊的沙灘狀河岸地帶。
28,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_014,雖然看起來像是淺灰色的沙漠，<hex:02100103>但實際上堆積在這裡的，是極其細小且五顏六色的玻璃顆粒。<hex:02100103>據說，是沉澱在河底的玻璃塊經過漫長時間破碎而成的。
29,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_015,河灘裡好像也混雜著像螞蟻地獄一樣的無底洞。<hex:02100103>從地表很難分辨出來，<hex:02100103>所以靠近時一定要注意流沙。
30,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_016,「虹彩階梯」是一片石灰華階地，<hex:02100103>由梯田狀的階梯連接而成，彙集了五顏六色的玻璃小池。
31,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_017,據說，是石灰岩山體被雨水等侵蝕後，<hex:02100103>液態玻璃沉積，才形成了這片景象。<hex:02100103>這可是花費了幾萬年才形成的啊……真是令人震撼。
32,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_018,就像每個池子的玻璃顏色都不同，<hex:02100103>在很小的範圍內就能獲得不同的樣本。<hex:02100103>這也是作為一名拾穗人，我感到有趣的地方。
33,TEXT_CTSWKS73GLASSBLOWERSBEACON_00955_JAROMIR_000_019,「膠囊峽谷」是一個深不見底的巨大天坑，<hex:02100103>由許多膨脹成球狀的玻璃珠堆積而成的山谷。<hex:02100103>其中一些破裂的玻璃珠裡積了水，形成了一座座湖。
