key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_001,嗯？你是新來的嗎？<hex:02100103>先去找查明威了解一下我們的探索計劃再來吧。
1,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_016,歡迎來到法恩娜行星！<hex:02100103>先去找查明威了解一下情況吧！
2,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_017,歡迎來到遙遠的俄匊斯行星！<hex:02100103>先去找查明威了解一下情況吧！
3,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_018,惑星アウクセシアにようこそっショ～！<hex:02100103>いやはや、ついにこんな惑星にまで辿り著いたんダナ。<hex:02100103>まずはサーチングウェイから、話を聞いてくるといいっショ～！
4,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_002,歡迎來到宇宙研究所！<hex:02100103>為了提高宇宙探索計劃的推進效率，<hex:02100103>我們正在分析探索數據，開發新的工具！
5,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_003,你要不要也來協助我們的研究？<hex:02100103>完成探索任務，積累足夠的宇宙數據後提交給我，<hex:02100103>就能推進研究任務啦！
6,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_004,現在的宇宙工具還處於試製階段，<hex:02100103>只要不斷收集、分析數據，推進研究，<hex:02100103>工具的性能就會逐步升級強化哦！
7,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_100_005,詳細資訊可以查看探索觸控板！
8,TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_100_006,開放了探索貢獻研究任務「宇宙研究」！<hex:02100103>通過探索觸控板的「宇宙研究」介面，<hex:02100103>可以隨時查看數據的分析情況與研究進度。
9,TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_100_007,「宇宙探索說明」介面中寫有該玩法的詳細說明，<hex:02100103>遇到不懂的情況可以隨時進行查看！
10,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_005,這裡是宇宙研究所！<hex:02100103>想提交研究數據、了解宇宙工具的話請找我！
11,TEXT_CTSWKSSDGATTENDANT_00920_Q1_000_000,要做什麼？
12,TEXT_CTSWKSSDGATTENDANT_00920_A1_000_001,提交研究數據
13,TEXT_CTSWKSSDGATTENDANT_00920_A1_000_002,領取宇宙工具
14,TEXT_CTSWKSSDGATTENDANT_00920_A1_000_003,對話
15,TEXT_CTSWKSSDGATTENDANT_00920_A1_000_004,取消
16,TEXT_CTSWKSSDGATTENDANT_00920_A1_000_005,複製宇宙工具
17,TEXT_CTSWKSSDGATTENDANT_00920_A1_000_006,マスターシップミッションとは？
18,TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_000_001,要提交哪個職業的研究數據？
19,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_006,這個職業的數據分析已經圓滿完成了！<hex:02100103>要嘗試挑戰其他職業的研究任務嗎？
20,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_007,研究數據好像不夠呢。<hex:02100103>請繼續完成更多探索任務，達成條件後再來找我吧！
21,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_014,研究所需要的數據量<hex:02100103>可以在探索觸控板的「宇宙研究」頁面中查看！
22,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_015,感謝你的協助！<hex:02100103>期待你繼續為我們的研究工作添磚加瓦！
23,TEXT_CTSWKSSDGATTENDANT_00920_EXCHANGE_CONFIRM,提交<hex:022816FF11>WKSCosmoToolName<hex:E8020103>的研究數據，<hex:02100103>「<hex:02280AFF05>Item<hex:E8030103>」將獲得強化。<hex:02100103><hex:02100103><hex:020869E1E80401FF01><hex:FF61><hex:024804F201FC03><hex:024904F201FD03>·強化後的裝備等級超過角色等級，無法立刻裝備。<hex:0249020103><hex:0248020103><hex:02100103><hex:03><hex:024804F201FA03><hex:024904F201FB03>·魔晶石與精鍊度將被清空。<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>確定要提交嗎？
24,TEXT_CTSWKSSDGATTENDANT_00920_EXCHANGE_CONFIRM_CHECKBOX,提交研究數據
25,TEXT_CTSWKSSDGATTENDANT_00920_GIVE_CONFIRM,提交<hex:022816FF11>WKSCosmoToolName<hex:E8020103>的研究數據，<hex:02100103>將獲得以下宇宙工具。<hex:02100103>確定要提交嗎？<hex:02100103><hex:020869E1E80301FF01><hex:FF61><hex:024804F201FC03><hex:024904F201FD03>·強化後的裝備等級超過角色等級，無法立刻裝備。<hex:0249020103><hex:0248020103><hex:02100103><hex:03>
26,TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_000_002,背包已滿，無法獲得裝備。<hex:02100103>請整理背包後再次進行對話。
27,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_100_007,咦……？<hex:02100103>你還裝備著<hex:02280AFF05>Item<hex:E8020103>呢！<hex:02100103>把它換下來後再來找我吧！
28,TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_000_006,裝備交換失敗。<hex:02100103>請脫下任務裝備後再次進行提交。
29,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_008,完成<hex:022816FF11>WKSCosmoToolName<hex:E8020103>了！<hex:02100103>宇宙工具也得到了升級，趕緊用起來吧！
30,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_009,你收集了好多研究數據啊！<hex:02100103>這些數據足夠讓研究任務再推進一個階段，<hex:02100103>你要繼續提交嗎？
31,TEXT_CTSWKSSDGATTENDANT_00920_CONTINUE_UPDATE_CONFIRM_CHECKBOX,要繼續提交研究數據嗎？
32,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_010,你提交的數據成功推進了研究進度，<hex:02100103>現在有新的研究數據可以收集了！<hex:02100103>詳細內容請查看探索觸控板！
33,TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_000_004,可以領取對應研究階段的宇宙工具。<hex:02100103>要領取哪個職業的宇宙工具？
34,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_013,這是你當前研究階段的宇宙工具，收好啦。<hex:02100103>還請你繼續為我們的研究工作添磚加瓦！
35,TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_000_005,取消
36,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_011,你已經有這個職業的宇宙工具啦。
37,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_012,升級宇宙工具需要收集足夠的研究數據！<hex:02100103>詳細內容可以查看探索觸控板！
38,TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_019,ついに、ついに……！<hex:02100103>コスモリサーチの研究目標が達せられたっショ～！
