key,5
#,Name
offset,0
int32,str
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,如何加入雙劍師公會
43,如何加入劍術師公會
44,如何加入格鬥家公會
45,如何加入斧術師公會
46,如何加入槍術師公會
47,如何加入弓箭手公會
48,如何加入幻術師公會
49,如何加入咒術師公會
50,如何加入刻木匠公會
51,如何加入鍛鐵匠公會
52,如何加入鑄甲匠公會
53,如何加入雕金匠公會
54,如何加入製革匠公會
55,如何加入裁衣匠公會
56,如何加入煉金術士公會
57,如何加入烹調師公會
58,如何加入採礦工公會
59,如何加入園藝工公會
60,
61,
62,
63,
64,
65,如何加入秘術師公會
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,如何加入捕魚人公會
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,詩在東方
107,
108,在第一世界譜寫詩歌之人
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,追憶昔日情景
121,無名眾人廣場
122,新巢居住區
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,落羽商業區
135,新幻卡對局錦標賽開賽！
136,升歌文化區
137,來自科諾古的訊息
138,新的幫手
139,格拉古的異變
140,又一位幫手
141,不正常的格拉古
142,塵埃落定
143,知識之都的詠詩之人
144,在圖拉爾中心吟詩之人
145,
146,
147,
148,
149,決鬥！九宮幻卡
150,驚喜！仙人微彩
151,圓夢！仙人仙彩
152,
153,演奏心中的旋律
154,榮光與分隊同在（雙蛇黨）
155,榮光與分隊同在（黑渦團）
156,榮光與分隊同在（恆輝隊）
157,
158,挑戰神殿騎士團理符任務
159,如何成為機工士
160,暗黑騎士的傳言
161,如何成為占星術士
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,蒼穹下的風景
172,
173,飽含祝福的護符
174,
175,出發，雲海探索！
176,重新調整人造元靈
177,紅蓮中的風景
178,黃金港理符開放
179,生意興隆
180,冰炎之地，其名為湧火地帶
181,決戰之地，其名為豐水地帶
182,冰雪之地，其名為恆冰地帶
183,回顧英雄詩篇
184,水晶都理符開放
185,誠信為本——莫雯卓越商會
186,黑暗中的風景
187,
188,想當天氣預報員？
189,我的最佳傑作
190,重新調整義軍武器
191,舊薩雷安理符開放
192,曉月下的風景
193,羅薇娜商會擴大規模
194,
195,
196,圖萊尤拉理符開放
197,黃金色的風景
198,黃金色的風景與新的記錄
199,新的交易——羅蒂娜商會
200,
201,
202,
203,
204,
205,古代亞拉戈文明的遺產
206,非常規任務
207,追星
208,烏爾達哈的明星
209,母與子
210,芙·拉敏的歌聲
211,前往喪靈鐘
212,埋沒聖堂的尋石之旅
213,牽制帝國
214,受襲的運輸隊
215,冒險者們的無人島
216,斯拉佛伯恩的煩惱
217,斯拉佛伯恩的煩惱
218,冒險者公會的委託
219,冒險者公會的委託
220,
221,收拾沙之家的行李
222,
223,塔塔露的請求
224,
225,黑衣森林的覺醒者
226,
227,前往石之家
228,拂曉的使命
229,追隨前人的背影
230,
231,
232,安身之處
233,
234,沙蚤的卵袋
235,多瑪之民
236,
237,多瑪的孩子們
238,雜亂的訂單
239,陸行鳥的臭味
240,開拓的阻礙
241,新的開拓者
242,黑塵驛站的除蟻工作
243,熱心的芙·拉敏和阿莉絲
244,備戰
245,魚人族的圖謀
246,生命的均衡
247,
248,森林面對的威脅
249,產卵地事變
250,
251,
252,
253,
254,
255,清除礙事的礦石
256,協助彎枝牧場
257,手握武器的人們
258,黑手的下場
259,
260,
261,一日信使
262,妖精領進攻戰
263,賢人的去向
264,揭穿秘密
265,制裁之雷
266,憧憬的英雄
267,
268,開拓者的幸運
269,加油塔塔露
270,
271,
272,
273,其名為屈伊伯龍男爵
274,鎮壓死靈
275,熄滅妖火
276,隱蹤匿跡
277,盜賊的晚餐菜單
278,多瑪忍者
279,牧場主的心事
280,捉拿現場
281,穆恩布瑞達的秘策
282,挑戰沙斯塔夏之人
283,伊修加德保衛戰
284,記錄「戰果記錄」
285,花蜜之路
286,輕快的問候
287,林中摯友
288,巴斯卡隆的規矩
289,永不忘懷
290,佳釀
291,浮出水面的犯人
292,幕後黑手
293,浮村怪事
294,席茲之亂
295,朗德內爾的妙計
296,第六槍隊隊長的指示
297,精金龜的巨蛋
298,遺忘綠洲的約定俗成
299,美酒配佳餚
300,大兵小願
301,豪華晚宴
302,意外的特技
303,靜止的時間
304,太陽之水
305,獻上最後的祈禱
306,切磋技藝
307,天上飛過之物
308,繼續戰鬥之人
309,風雪白雲崖
310,技術進步
311,海濱之約
312,壺中天地
313,最後的偏屬性水晶
314,救救魔石精
315,水晶爭奪戰
316,另一類軍裝
317,賢者行軍行動
318,無名的戰友們
319,東西監視塔
320,士氣如火
