key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSDDD4GACHA_00943_TYRMARN_000_000,就因為我那一點點求知慾過於旺盛，<hex:02100103>就被處以這樣的懲罰性勞動，不過呢，<hex:02100103>托它的福，看來會很有趣！
1,TEXT_CTSDDD4GACHA_00943_TYRMARN_000_010,那些用途不明的物品，就由我來斷定它們的真面目吧～！<hex:02100103>無論真相如何，揭露的那一瞬間總是甜美，但<hex:02100103>難得的機會，希望能有個華麗的結果呢～。
2,TEXT_CTSDDD4GACHA_00943_Q1_000_020,想做什麼？
3,TEXT_CTSDDD4GACHA_00943_A1_000_021,想要鑑定財寶
4,TEXT_CTSDDD4GACHA_00943_A1_000_022,詢問關於「埋藏的財寶」
5,TEXT_CTSDDD4GACHA_00943_A1_100_022,詢問關於「閃耀的財寶」
6,TEXT_CTSDDD4GACHA_00943_A1_000_023,取消
7,TEXT_CTSDDD4GACHA_00943_TYRMARN_000_030,即使如今已成廢墟，光耀教會在鼎盛時期，<hex:02100103>每天也有許多人來訪。<hex:02100103>那時的遺失物，或許至今仍有殘留呢～。
8,TEXT_CTSDDD4GACHA_00943_TYRMARN_000_031,偶爾也可能會發現，<hex:02100103>曾被收藏在教會寶物庫中的驚人物品……？<hex:02100103>呵呵，真讓人心潮澎湃～！
9,TEXT_CTSDDD4GACHA_00943_SYSTEM_000_032,在深層迷宮中，<hex:02100103>有時會發現不知道裡面裝了什麼的<hex:02100103>「埋藏的財寶」。
10,TEXT_CTSDDD4GACHA_00943_SYSTEM_000_033,如果是在巡禮漫步中發現的「埋藏的財寶」，<hex:02100103>交給「提爾·馬恩」，<hex:02100103>即可獲得其中的道具。
11,TEXT_CTSDDD4GACHA_00943_TYRMARN_000_040,提到閃耀之物，會是什麼呢？<hex:02100103>金銀財寶、寶石、玻璃、嬰兒的臉頰，美好的笑容……<hex:02100103>又或許是逝去不再復返的時光。
12,TEXT_CTSDDD4GACHA_00943_TYRMARN_000_041,歸根結底，它們的價值，都是由每個人自己來決定的。<hex:02100103>對你來說或許只是塊石頭，但某個地方的某個人會很開心呢～！
13,TEXT_CTSDDD4GACHA_00943_SYSTEM_000_042,完成攻略手冊中與巡禮漫步相關的項目時，<hex:02100103>有時會獲得「閃耀的財寶」。<hex:02100103>記得與「凡薩烏」對話，確認手冊哦！
14,TEXT_CTSDDD4GACHA_00943_SYSTEM_000_043,將獲得的「閃耀的財寶」，<hex:02100103>交給「蒂爾＝瑪恩」進行鑑定，<hex:02100103>即可取出特殊的道具。
